ocup,mes
75.38,5
76.31,6
75.38,5
76.31,6
75.38,5
76.31,6
76.31,6
75.38,5
70.22,4
75.38,5
76.31,6
76.31,6
42.43,1
73.95,11
76.31,6
75.38,5
42.43,1
75.38,5
75.38,5
75.38,5
75.38,5
75.38,5
76.31,6
75.38,5
75.38,5
42.43,1
75.38,5
75.38,5
76.31,6
75.38,5
75.38,5
75.38,5
42.43,1
76.31,6
61.47,12
70.22,4
42.43,1
76.31,6
80.17,10
75.38,5
75.38,5
75.38,5
61.47,12
75.38,5
75.38,5
61.47,12
76.31,6
75.38,5
75.38,5
75.38,5
76.31,6
76.31,6
64.47,3
70.22,4
61.47,12
70.22,4
75.38,5
76.31,6
76.31,6
76.31,6
70.22,4
75.38,5
75.38,5
56.16,2
75.38,5
55.80,8
76.31,6
76.31,6
75.38,5
80.17,10
76.31,6
76.31,6
75.38,5
76.31,6
75.38,5
73.95,11
80.17,10
76.31,6
75.38,5
73.95,11
76.24,9
75.38,5
76.31,6
76.31,6
75.38,5
76.31,6
64.47,3
64.58,7
76.24,9
75.38,5
75.38,5
55.80,8
76.31,6
75.38,5
76.24,9
80.17,10
75.38,5
76.31,6
75.38,5
75.38,5
55.80,8
75.38,5
64.58,7
75.38,5
76.31,6
76.31,6
75.38,5
75.38,5
76.31,6
76.31,6
76.31,6
75.38,5
76.31,6
76.24,9
75.38,5
76.31,6
70.22,4
75.38,5
64.47,3
73.95,11
64.58,7
76.31,6
73.95,11
75.38,5
76.31,6
70.22,4
64.47,3
75.38,5
76.31,6
73.95,11
75.38,5
76.31,6
76.31,6
73.95,11
75.38,5
75.38,5
76.31,6
42.43,1
80.17,10
75.38,5
76.31,6
75.38,5
76.31,6
76.31,6
75.38,5
75.38,5
75.38,5
56.16,2
75.38,5
70.22,4
75.38,5
75.38,5
70.22,4
75.38,5
75.38,5
76.31,6
76.31,6
80.17,10
75.38,5
75.38,5
76.31,6
76.31,6
70.22,4
76.31,6
75.38,5
75.38,5
75.38,5
76.31,6
64.47,3
75.38,5
76.31,6
75.38,5
75.38,5
56.16,2
42.43,1
76.31,6
56.16,2
76.31,6
76.31,6
64.58,7
76.31,6
75.38,5
61.47,12
76.31,6
75.38,5
76.31,6
76.31,6
76.24,9
64.47,3
76.31,6
76.31,6
75.38,5
75.38,5
75.38,5
75.38,5
42.43,1
75.38,5
42.43,1
76.31,6
75.38,5
70.22,4
75.38,5
75.38,5
76.31,6
75.38,5
75.38,5
42.43,1
70.22,4
61.47,12
61.47,12
75.38,5
64.58,7
70.22,4
80.17,10
75.38,5
76.31,6
75.38,5
75.38,5
75.38,5
75.38,5
76.31,6
70.22,4
56.16,2
75.38,5
70.22,4
76.31,6
76.31,6
75.38,5
76.31,6
75.38,5
76.31,6
76.31,6
76.31,6
75.38,5
42.43,1
70.22,4
42.43,1
75.38,5
75.38,5
70.22,4
75.38,5
76.31,6
73.95,11
75.38,5
75.38,5
75.38,5
56.16,2
75.38,5
42.43,1
76.31,6
64.47,3
75.38,5
76.31,6
75.38,5
75.38,5
64.47,3
73.95,11
80.17,10
76.31,6
75.38,5
75.38,5
75.38,5
75.38,5
75.38,5
75.38,5
75.38,5
75.38,5
76.31,6
42.43,1
70.22,4
75.38,5
42.43,1
76.31,6
75.38,5
76.31,6
70.22,4
64.47,3
64.58,7
75.38,5
42.43,1
75.38,5
75.38,5
75.38,5
76.31,6
75.38,5
75.38,5
70.22,4
75.38,5
76.31,6
75.38,5
75.38,5
42.43,1
73.95,11
75.38,5
76.31,6
75.38,5
76.31,6
61.47,12
61.47,12
70.22,4
75.38,5
75.38,5
56.16,2
76.31,6
76.31,6
76.31,6
70.22,4
70.22,4
56.16,2
42.43,1
73.95,11
75.38,5
76.31,6
75.38,5
75.38,5
76.31,6
64.58,7
76.31,6
75.38,5
75.38,5
75.38,5
75.38,5
75.38,5
75.38,5
75.38,5
75.38,5
75.38,5
76.31,6
75.38,5
76.31,6
75.38,5
75.38,5
75.38,5
75.38,5
76.31,6
76.31,6
70.22,4
75.38,5
76.31,6
64.47,3
76.31,6
80.17,10
75.38,5
75.38,5
75.38,5
75.38,5
70.22,4
76.31,6
75.38,5
75.38,5
75.38,5
75.38,5
80.17,10
75.38,5
75.38,5
73.95,11
75.38,5
73.95,11
75.38,5
55.80,8
64.47,3
76.31,6
64.58,7
75.38,5
75.38,5
75.38,5
76.31,6
75.38,5
75.38,5
76.31,6
75.38,5
75.38,5
76.24,9
75.38,5
75.38,5
70.22,4
76.31,6
70.22,4
61.47,12
61.47,12
75.38,5
76.31,6
64.47,3
76.31,6
76.31,6
73.95,11
75.38,5
55.80,8
70.22,4
42.43,1
75.38,5
42.43,1
75.38,5
76.31,6
75.38,5
75.38,5
64.47,3
42.43,1
76.31,6
80.17,10
75.38,5
75.38,5
75.38,5
42.43,1
75.38,5
75.38,5
76.31,6
75.38,5
76.31,6
76.31,6
75.38,5
75.38,5
75.38,5
61.47,12
76.31,6
64.47,3
76.31,6
75.38,5
64.58,7
76.31,6
76.31,6
76.31,6
75.38,5
73.95,11
76.31,6
75.38,5
75.38,5
75.38,5
76.31,6
76.31,6
75.38,5
70.22,4
75.38,5
75.38,5
80.17,10
76.31,6
76.31,6
75.38,5
75.38,5
64.47,3
75.38,5
75.38,5
75.38,5
75.38,5
75.38,5
75.38,5
75.38,5
75.38,5
75.38,5
70.22,4
70.22,4
76.31,6
61.47,12
56.16,2
75.38,5
70.22,4
73.95,11
70.22,4
75.38,5
64.47,3
75.38,5
75.38,5
76.31,6
75.38,5
75.38,5
55.80,8
75.38,5
75.38,5
70.22,4
75.38,5
76.31,6
42.43,1
75.38,5
75.38,5
75.38,5
76.31,6
75.38,5
75.38,5
75.38,5
75.38,5
75.38,5
76.31,6
75.38,5
75.38,5
56.16,2
70.22,4
56.16,2
75.38,5
70.22,4
64.47,3
70.22,4
70.22,4
75.38,5
75.38,5
56.16,2
75.38,5
75.38,5
76.31,6
64.47,3
75.38,5
64.58,7
56.16,2
75.38,5
75.38,5
76.31,6
75.38,5
75.38,5
76.31,6
76.31,6
76.31,6
75.38,5
70.22,4
76.31,6
76.31,6
75.38,5
70.22,4
64.47,3
80.17,10
76.31,6
75.38,5
75.38,5
75.38,5
75.38,5
76.31,6
64.58,7
76.31,6
75.38,5
76.31,6
56.16,2
75.38,5
75.38,5
76.31,6
76.31,6
76.31,6
75.38,5
75.38,5
73.95,11
75.38,5
75.38,5
55.80,8
75.38,5
75.38,5
75.38,5
76.31,6
75.38,5
76.31,6
76.31,6
76.31,6
75.38,5
64.47,3
56.16,2
75.38,5
75.38,5
73.95,11
75.38,5
76.31,6
75.38,5
76.31,6
76.31,6
75.38,5
64.47,3
76.31,6
76.31,6
75.38,5
76.31,6
76.31,6
70.22,4
76.31,6
75.38,5
80.17,10
76.31,6
76.31,6
75.38,5
75.38,5
64.47,3
76.31,6
75.38,5
76.24,9
75.38,5
75.38,5
75.38,5
75.38,5
64.47,3
64.47,3
70.22,4
76.24,9
75.38,5
75.38,5
75.38,5
64.47,3
70.22,4
61.47,12
75.38,5
75.38,5
61.47,12
76.31,6
70.22,4
76.31,6
70.22,4
64.47,3
73.95,11
70.22,4
73.95,11
75.38,5
76.31,6
55.80,8
75.38,5
42.43,1
55.80,8
80.17,10
75.38,5
75.38,5
70.22,4
75.38,5
70.22,4
42.43,1
76.31,6
75.38,5
61.47,12
76.31,6
76.31,6
76.31,6
42.43,1
76.31,6
80.17,10
75.38,5
75.38,5
64.47,3
64.58,7
76.24,9
75.38,5
76.31,6
76.31,6
75.38,5
61.47,12
61.47,12
75.38,5
75.38,5
75.38,5
76.31,6
76.31,6
75.38,5
76.31,6
76.31,6
75.38,5
70.22,4
76.31,6
75.38,5
75.38,5
76.31,6
75.38,5
55.80,8
75.38,5
75.38,5
75.38,5
75.38,5
75.38,5
75.38,5
75.38,5
76.31,6
76.31,6
75.38,5
70.22,4
76.31,6
42.43,1
76.31,6
70.22,4
75.38,5
75.38,5
73.95,11
75.38,5
75.38,5
75.38,5
76.31,6
75.38,5
75.38,5
76.31,6
76.31,6
76.31,6
75.38,5
76.31,6
75.38,5
75.38,5
76.31,6
75.38,5
75.38,5
70.22,4
56.16,2
75.38,5
76.31,6
61.47,12
73.95,11
80.17,10
70.22,4
75.38,5
76.31,6
76.31,6
75.38,5
76.31,6
76.31,6
76.31,6
76.31,6
64.47,3
75.38,5
75.38,5
76.31,6
76.31,6
75.38,5
56.16,2
75.38,5
75.38,5
76.31,6
64.58,7
70.22,4
76.24,9
73.95,11
75.38,5
75.38,5
76.31,6
76.31,6
75.38,5
76.31,6
76.31,6
56.16,2
75.38,5
76.31,6
75.38,5
76.31,6
64.47,3
75.38,5
76.31,6
76.31,6
75.38,5
75.38,5
64.58,7
76.31,6
76.31,6
75.38,5
75.38,5
61.47,12
75.38,5
75.38,5
64.58,7
75.38,5
76.31,6
76.31,6
70.22,4
75.38,5
70.22,4
75.38,5
64.58,7
75.38,5
64.47,3
73.95,11
70.22,4
75.38,5
70.22,4
70.22,4
75.38,5
70.22,4
76.31,6
75.38,5
75.38,5
75.38,5
75.38,5
75.38,5
75.38,5
75.38,5
75.38,5
75.38,5
75.38,5
76.31,6
75.38,5
56.16,2
61.47,12
76.31,6
75.38,5
76.31,6
76.31,6
76.31,6
76.31,6
75.38,5
70.22,4
76.31,6
76.31,6
61.47,12
73.95,11
75.38,5
76.31,6
61.47,12
76.31,6
76.31,6
75.38,5
76.31,6
75.38,5
75.38,5
75.38,5
75.38,5
75.38,5
76.31,6
75.38,5
42.43,1
76.24,9
75.38,5
70.22,4
42.43,1
75.38,5
76.31,6
70.22,4
75.38,5
73.95,11
75.38,5
75.38,5
75.38,5
42.43,1
42.43,1
75.38,5
76.31,6
76.31,6
80.17,10
42.43,1
55.80,8
70.22,4
70.22,4
75.38,5
76.24,9
76.31,6
76.31,6
75.38,5
70.22,4
75.38,5
76.24,9
76.31,6
75.38,5
75.38,5
73.95,11
70.22,4
55.80,8
70.22,4
76.31,6
75.38,5
75.38,5
76.24,9
75.38,5
73.95,11
55.80,8
75.38,5
42.43,1
75.38,5
70.22,4
75.38,5
56.16,2
75.38,5
75.38,5
42.43,1
64.47,3
75.38,5
75.38,5
75.38,5
70.22,4
70.22,4
80.17,10
73.95,11
56.16,2
80.17,10
70.22,4
76.31,6
76.31,6
73.95,11
70.22,4
76.31,6
76.24,9
75.38,5
76.31,6
55.80,8
64.47,3
55.80,8
70.22,4
75.38,5
61.47,12
55.80,8
75.38,5
55.80,8
75.38,5
76.31,6
70.22,4
75.38,5
75.38,5
75.38,5
75.38,5
73.95,11
73.95,11
76.24,9
42.43,1
75.38,5
73.95,11
75.38,5
75.38,5
64.58,7
76.31,6
76.31,6
75.38,5
76.31,6
64.58,7
76.31,6
42.43,1
73.95,11
75.38,5
70.22,4
56.16,2
55.80,8
75.38,5
70.22,4
76.31,6
76.31,6
55.80,8
42.43,1
75.38,5
42.43,1
61.47,12
75.38,5
75.38,5
76.31,6
55.80,8
73.95,11
55.80,8
56.16,2
55.80,8
75.38,5
64.58,7
56.16,2
76.31,6
42.43,1
75.38,5
76.31,6
76.31,6
76.31,6
56.16,2
64.58,7
64.47,3
76.31,6
75.38,5
76.24,9
75.38,5
75.38,5
76.31,6
75.38,5
76.31,6
75.38,5
76.31,6
75.38,5
75.38,5
75.38,5
70.22,4
75.38,5
56.16,2
75.38,5
70.22,4
75.38,5
75.38,5
75.38,5
76.31,6
76.31,6
70.22,4
70.22,4
75.38,5
76.31,6
75.38,5
64.47,3
80.17,10
76.24,9
75.38,5
64.58,7
76.31,6
75.38,5
64.58,7
76.31,6
64.47,3
75.38,5
76.31,6
75.38,5
76.31,6
70.22,4
75.38,5
76.31,6
55.80,8
64.47,3
76.31,6
64.47,3
75.38,5
76.31,6
75.38,5
61.47,12
75.38,5
75.38,5
75.38,5
70.22,4
75.38,5
56.16,2
75.38,5
76.31,6
75.38,5
70.22,4
76.24,9
64.58,7
75.38,5
75.38,5
75.38,5
75.38,5
76.31,6
75.38,5
75.38,5
75.38,5
75.38,5
76.31,6
56.16,2
75.38,5
76.31,6
75.38,5
75.38,5
76.31,6
76.31,6
73.95,11
55.80,8
75.38,5
75.38,5
64.47,3
75.38,5
75.38,5
76.31,6
75.38,5
75.38,5
76.24,9
64.47,3
75.38,5
75.38,5
61.47,12
76.31,6
70.22,4
75.38,5
76.31,6
75.38,5
70.22,4
70.22,4
70.22,4
75.38,5
76.31,6
75.38,5
56.16,2
75.38,5
76.24,9
70.22,4
75.38,5
75.38,5
76.31,6
70.22,4
76.31,6
75.38,5
76.31,6
76.31,6
76.31,6
76.31,6
64.58,7
75.38,5
75.38,5
75.38,5
76.31,6
75.38,5
70.22,4
70.22,4
56.16,2
70.22,4
70.22,4
76.31,6
75.38,5
75.38,5
76.31,6
64.58,7
76.31,6
76.31,6
75.38,5
70.22,4
64.47,3
76.31,6
73.95,11
70.22,4
75.38,5
42.43,1
75.38,5
76.31,6
70.22,4
75.38,5
80.17,10
75.38,5
55.80,8
76.31,6
75.38,5
75.38,5
75.38,5
76.31,6
80.17,10
75.38,5
80.17,10
76.31,6
76.31,6
76.31,6
76.31,6
76.31,6
76.31,6
75.38,5
64.47,3
64.58,7
61.47,12
75.38,5
76.31,6
76.31,6
70.22,4
75.38,5
61.47,12
75.38,5
75.38,5
55.80,8
76.31,6
76.31,6
76.31,6
76.31,6
76.31,6
70.22,4
70.22,4
76.31,6
75.38,5
76.31,6
75.38,5
75.38,5
56.16,2
76.31,6
73.95,11
76.31,6
75.38,5
76.31,6
61.47,12
76.31,6
76.31,6
75.38,5
73.95,11
76.31,6
75.38,5
75.38,5
64.58,7
75.38,5
75.38,5
70.22,4
76.31,6
42.43,1
64.47,3
76.31,6
70.22,4
70.22,4
80.17,10
70.22,4
76.31,6
64.47,3
76.31,6
75.38,5
75.38,5
75.38,5
76.31,6
75.38,5
76.31,6
75.38,5
64.47,3
75.38,5
75.38,5
76.31,6
76.31,6
76.31,6
64.47,3
56.16,2
70.22,4
76.24,9
76.31,6
80.17,10
73.95,11
75.38,5
76.31,6
76.31,6
64.47,3
75.38,5
76.31,6
75.38,5
76.31,6
76.31,6
75.38,5
75.38,5
76.31,6
76.31,6
55.80,8
76.31,6
80.17,10
80.17,10
55.80,8
75.38,5
75.38,5
70.22,4
75.38,5
75.38,5
75.38,5
75.38,5
75.38,5
76.31,6
75.38,5
75.38,5
64.47,3
76.31,6
56.16,2
42.43,1
56.16,2
64.58,7
70.22,4
76.31,6
76.31,6
55.80,8
76.31,6
76.31,6
76.31,6
76.31,6
55.80,8
55.80,8
70.22,4
76.31,6
75.38,5
76.31,6
76.31,6
75.38,5
76.31,6
75.38,5
75.38,5
76.31,6
70.22,4
75.38,5
75.38,5
64.47,3
75.38,5
70.22,4
76.31,6
75.38,5
75.38,5
76.31,6
76.31,6
75.38,5
75.38,5
64.58,7
70.22,4
75.38,5
75.38,5
76.31,6
73.95,11
76.31,6
75.38,5
75.38,5
76.24,9
75.38,5
76.31,6
64.47,3
42.43,1
55.80,8
76.31,6
61.47,12
76.31,6
61.47,12
76.31,6
75.38,5
76.24,9
80.17,10
76.24,9
56.16,2
75.38,5
75.38,5
55.80,8
75.38,5
75.38,5
76.31,6
75.38,5
76.31,6
76.31,6
76.31,6
76.31,6
76.24,9
76.31,6
76.31,6
75.38,5
56.16,2
75.38,5
76.31,6
76.24,9
76.24,9
75.38,5
76.24,9
55.80,8
42.43,1
75.38,5
80.17,10
80.17,10
76.24,9
75.38,5
75.38,5
80.17,10
80.17,10
76.31,6
80.17,10
80.17,10
75.38,5
64.58,7
76.24,9
75.38,5
75.38,5
42.43,1
75.38,5
70.22,4
76.31,6
76.31,6
75.38,5
76.31,6
64.47,3
76.31,6
76.31,6
76.31,6
55.80,8
75.38,5
76.31,6
76.31,6
75.38,5
76.31,6
75.38,5
55.80,8
80.17,10
75.38,5
73.95,11
64.47,3
75.38,5
75.38,5
75.38,5
76.24,9
64.47,3
75.38,5
76.31,6
76.31,6
70.22,4
76.31,6
75.38,5
75.38,5
75.38,5
76.31,6
75.38,5
64.47,3
75.38,5
75.38,5
70.22,4
75.38,5
75.38,5
76.31,6
75.38,5
75.38,5
76.31,6
76.31,6
75.38,5
80.17,10
76.31,6
70.22,4
76.31,6
76.31,6
75.38,5
75.38,5
75.38,5
64.47,3
75.38,5
75.38,5
75.38,5
75.38,5
76.31,6
75.38,5
76.31,6
75.38,5
76.31,6
76.31,6
75.38,5
75.38,5
75.38,5
64.58,7
75.38,5
80.17,10
76.31,6
76.24,9
76.24,9
75.38,5
76.31,6
75.38,5
75.38,5
55.80,8
76.24,9
64.58,7
75.38,5
76.31,6
75.38,5
75.38,5
76.31,6
76.24,9
76.31,6
75.38,5
61.47,12
75.38,5
75.38,5
61.47,12
76.31,6
70.22,4
76.24,9
56.16,2
64.47,3
76.31,6
75.38,5
61.47,12
70.22,4
75.38,5
80.17,10
75.38,5
42.43,1
75.38,5
76.31,6
64.47,3
75.38,5
70.22,4
73.95,11
75.38,5
75.38,5
75.38,5
76.31,6
64.47,3
75.38,5
75.38,5
75.38,5
75.38,5
75.38,5
64.58,7
76.31,6
64.47,3
76.31,6
76.31,6
75.38,5
64.47,3
70.22,4
75.38,5
75.38,5
42.43,1
75.38,5
76.31,6
75.38,5
70.22,4
75.38,5
70.22,4
75.38,5
42.43,1
75.38,5
70.22,4
64.47,3
76.31,6
75.38,5
75.38,5
75.38,5
75.38,5
64.47,3
42.43,1
75.38,5
76.24,9
70.22,4
76.31,6
75.38,5
75.38,5
75.38,5
75.38,5
73.95,11
75.38,5
75.38,5
76.31,6
76.31,6
70.22,4
76.31,6
75.38,5
76.24,9
75.38,5
75.38,5
75.38,5
75.38,5
76.31,6
76.31,6
76.31,6
76.31,6
76.31,6
76.31,6
75.38,5
75.38,5
73.95,11
75.38,5
70.22,4
75.38,5
42.43,1
75.38,5
56.16,2
75.38,5
75.38,5
76.31,6
80.17,10
42.43,1
75.38,5
75.38,5
76.31,6
75.38,5
73.95,11
76.31,6
75.38,5
76.31,6
75.38,5
75.38,5
75.38,5
75.38,5
56.16,2
75.38,5
42.43,1
80.17,10
75.38,5
56.16,2
76.31,6
75.38,5
75.38,5
75.38,5
75.38,5
61.47,12
76.31,6
76.31,6
75.38,5
76.31,6
75.38,5
76.31,6
75.38,5
76.31,6
76.31,6
75.38,5
75.38,5
76.31,6
70.22,4
75.38,5
75.38,5
75.38,5
75.38,5
75.38,5
75.38,5
75.38,5
75.38,5
75.38,5
76.31,6
76.31,6
70.22,4
75.38,5
76.31,6
75.38,5
76.31,6
56.16,2
76.31,6
76.31,6
75.38,5
76.31,6
70.22,4
75.38,5
75.38,5
76.31,6
75.38,5
73.95,11
76.31,6
75.38,5
75.38,5
70.22,4
75.38,5
75.38,5
75.38,5
75.38,5
80.17,10
75.38,5
76.31,6
76.31,6
75.38,5
61.47,12
75.38,5
75.38,5
42.43,1
70.22,4
42.43,1
75.38,5
42.43,1
75.38,5
56.16,2
75.38,5
75.38,5
80.17,10
75.38,5
76.31,6
75.38,5
75.38,5
56.16,2
75.38,5
75.38,5
75.38,5
76.31,6
75.38,5
70.22,4
76.31,6
75.38,5
75.38,5
73.95,11
73.95,11
80.17,10
64.47,3
76.31,6
70.22,4
76.31,6
76.31,6
75.38,5
76.31,6
76.31,6
75.38,5
75.38,5
76.31,6
76.31,6
75.38,5
76.31,6
75.38,5
80.17,10
55.80,8
75.38,5
75.38,5
75.38,5
70.22,4
76.31,6
56.16,2
75.38,5
75.38,5
56.16,2
75.38,5
75.38,5
75.38,5
76.31,6
75.38,5
61.47,12
75.38,5
73.95,11
75.38,5
75.38,5
76.31,6
75.38,5
76.31,6
70.22,4
76.31,6
76.31,6
76.31,6
76.31,6
76.31,6
75.38,5
76.31,6
75.38,5
75.38,5
75.38,5
61.47,12
70.22,4
75.38,5
75.38,5
75.38,5
75.38,5
70.22,4
75.38,5
75.38,5
76.31,6
76.31,6
75.38,5
75.38,5
75.38,5
75.38,5
76.31,6
64.47,3
76.31,6
70.22,4
75.38,5
75.38,5
76.31,6
75.38,5
76.31,6
70.22,4
75.38,5
73.95,11
76.31,6
42.43,1
64.47,3
75.38,5
76.31,6
76.31,6
75.38,5
76.31,6
61.47,12
75.38,5
75.38,5
75.38,5
75.38,5
75.38,5
80.17,10
80.17,10
76.31,6
76.31,6
76.31,6
75.38,5
75.38,5
55.80,8
75.38,5
55.80,8
75.38,5
76.31,6
80.17,10
80.17,10
75.38,5
75.38,5
61.47,12
76.31,6
75.38,5
75.38,5
55.80,8
42.43,1
55.80,8
75.38,5
75.38,5
76.31,6
75.38,5
55.80,8
73.95,11
76.31,6
70.22,4
75.38,5
42.43,1
61.47,12
70.22,4
76.31,6
70.22,4
76.31,6
75.38,5
42.43,1
64.58,7
61.47,12
42.43,1
75.38,5
56.16,2
75.38,5
61.47,12
55.80,8
75.38,5
75.38,5
76.31,6
75.38,5
55.80,8
42.43,1
76.31,6
64.58,7
76.31,6
76.31,6
42.43,1
76.31,6
73.95,11
80.17,10
76.31,6
76.31,6
70.22,4
76.31,6
80.17,10
75.38,5
61.47,12
56.16,2
76.31,6
75.38,5
80.17,10
55.80,8
75.38,5
42.43,1
42.43,1
76.31,6
56.16,2
76.31,6
61.47,12
76.31,6
75.38,5
76.31,6
75.38,5
75.38,5
64.58,7
70.22,4
76.31,6
56.16,2
75.38,5
70.22,4
75.38,5
75.38,5
70.22,4
75.38,5
75.38,5
75.38,5
76.31,6
76.24,9
75.38,5
75.38,5
75.38,5
64.47,3
75.38,5
76.31,6
75.38,5
75.38,5
75.38,5
75.38,5
75.38,5
42.43,1
76.31,6
76.31,6
70.22,4
73.95,11
76.31,6
70.22,4
55.80,8
75.38,5
76.31,6
75.38,5
73.95,11
76.31,6
64.58,7
70.22,4
75.38,5
75.38,5
75.38,5
76.31,6
75.38,5
64.58,7
75.38,5
75.38,5
75.38,5
75.38,5
64.47,3
61.47,12
61.47,12
75.38,5
75.38,5
75.38,5
55.80,8
42.43,1
70.22,4
75.38,5
70.22,4
76.31,6
75.38,5
76.31,6
76.31,6
75.38,5
75.38,5
61.47,12
76.31,6
55.80,8
76.31,6
75.38,5
75.38,5
55.80,8
75.38,5
75.38,5
75.38,5
75.38,5
64.58,7
64.58,7
75.38,5
64.47,3
70.22,4
76.31,6
75.38,5
76.31,6
75.38,5
75.38,5
70.22,4
76.31,6
75.38,5
75.38,5
55.80,8
76.24,9
76.31,6
76.31,6
76.31,6
75.38,5
64.58,7
76.31,6
42.43,1
75.38,5
55.80,8
75.38,5
75.38,5
75.38,5
75.38,5
76.31,6
64.58,7
75.38,5
75.38,5
75.38,5
76.31,6
75.38,5
75.38,5
75.38,5
76.31,6
75.38,5
75.38,5
70.22,4
75.38,5
75.38,5
70.22,4
75.38,5
70.22,4
64.58,7
75.38,5
76.31,6
64.47,3
75.38,5
75.38,5
64.58,7
76.31,6
76.31,6
75.38,5
70.22,4
70.22,4
75.38,5
76.31,6
73.95,11
75.38,5
64.47,3
75.38,5
76.31,6
75.38,5
75.38,5
75.38,5
75.38,5
61.47,12
76.31,6
75.38,5
75.38,5
73.95,11
76.31,6
75.38,5
76.24,9
76.31,6
61.47,12
75.38,5
42.43,1
42.43,1
42.43,1
42.43,1
61.47,12
75.38,5
76.31,6
75.38,5
61.47,12
64.58,7
76.31,6
75.38,5
75.38,5
64.47,3
75.38,5
76.31,6
75.38,5
55.80,8
76.31,6
75.38,5
76.31,6
42.43,1
76.31,6
75.38,5
75.38,5
76.31,6
75.38,5
75.38,5
76.31,6
70.22,4
76.31,6
70.22,4
70.22,4
42.43,1
76.31,6
76.24,9
61.47,12
75.38,5
75.38,5
75.38,5
80.17,10
76.31,6
76.31,6
76.31,6
75.38,5
76.31,6
75.38,5
75.38,5
75.38,5
75.38,5
75.38,5
76.31,6
76.31,6
70.22,4
61.47,12
75.38,5
75.38,5
75.38,5
76.31,6
70.22,4
75.38,5
75.38,5
75.38,5
75.38,5
64.47,3
76.31,6
76.31,6
75.38,5
42.43,1
55.80,8
75.38,5
70.22,4
76.31,6
56.16,2
75.38,5
76.31,6
75.38,5
75.38,5
80.17,10
76.31,6
75.38,5
73.95,11
76.31,6
75.38,5
76.31,6
76.31,6
75.38,5
64.58,7
56.16,2
75.38,5
75.38,5
80.17,10
75.38,5
75.38,5
75.38,5
75.38,5
70.22,4
76.31,6
70.22,4
75.38,5
75.38,5
76.31,6
55.80,8
75.38,5
76.24,9
55.80,8
75.38,5
76.24,9
75.38,5
70.22,4
64.58,7
75.38,5
76.31,6
75.38,5
76.31,6
70.22,4
75.38,5
76.31,6
75.38,5
75.38,5
70.22,4
61.47,12
70.22,4
70.22,4
56.16,2
75.38,5
70.22,4
75.38,5
75.38,5
75.38,5
76.31,6
64.47,3
76.31,6
75.38,5
75.38,5
76.24,9
64.47,3
75.38,5
70.22,4
76.31,6
75.38,5
70.22,4
76.24,9
75.38,5
75.38,5
80.17,10
55.80,8
64.58,7
75.38,5
76.31,6
42.43,1
76.31,6
70.22,4
80.17,10
76.31,6
75.38,5
70.22,4
75.38,5
80.17,10
76.31,6
75.38,5
75.38,5
75.38,5
76.31,6
76.31,6
64.47,3
75.38,5
76.31,6
42.43,1
75.38,5
75.38,5
70.22,4
64.58,7
75.38,5
76.31,6
75.38,5
75.38,5
80.17,10
76.31,6
75.38,5
75.38,5
76.31,6
75.38,5
80.17,10
76.31,6
76.31,6
76.31,6
55.80,8
64.58,7
75.38,5
76.31,6
70.22,4
75.38,5
55.80,8
64.58,7
42.43,1
76.31,6
55.80,8
75.38,5
76.31,6
75.38,5
75.38,5
64.58,7
75.38,5
64.58,7
75.38,5
64.47,3
76.31,6
76.24,9
76.31,6
80.17,10
76.31,6
75.38,5
75.38,5
76.31,6
76.31,6
70.22,4
76.31,6
76.24,9
76.31,6
70.22,4
76.31,6
70.22,4
55.80,8
75.38,5
70.22,4
64.58,7
75.38,5
75.38,5
42.43,1
75.38,5
76.24,9
70.22,4
76.31,6
75.38,5
76.31,6
76.31,6
75.38,5
70.22,4
76.31,6
70.22,4
75.38,5
75.38,5
75.38,5
76.31,6
42.43,1
70.22,4
75.38,5
76.31,6
42.43,1
75.38,5
64.47,3
64.58,7
76.31,6
64.47,3
70.22,4
75.38,5
42.43,1
70.22,4
75.38,5
76.31,6
75.38,5
76.31,6
80.17,10
75.38,5
64.58,7
75.38,5
76.31,6
76.31,6
75.38,5
73.95,11
76.31,6
75.38,5
75.38,5
75.38,5
76.31,6
76.31,6
73.95,11
75.38,5
75.38,5
75.38,5
61.47,12
76.31,6
76.24,9
76.31,6
70.22,4
73.95,11
70.22,4
70.22,4
76.31,6
76.24,9
61.47,12
55.80,8
70.22,4
61.47,12
70.22,4
75.38,5
75.38,5
42.43,1
70.22,4
75.38,5
75.38,5
76.31,6
75.38,5
75.38,5
76.31,6
75.38,5
70.22,4
70.22,4
76.31,6
76.31,6
75.38,5
75.38,5
75.38,5
73.95,11
76.31,6
75.38,5
73.95,11
75.38,5
80.17,10
73.95,11
73.95,11
70.22,4
56.16,2
76.31,6
56.16,2
75.38,5
75.38,5
70.22,4
76.31,6
64.47,3
75.38,5
75.38,5
70.22,4
76.31,6
75.38,5
75.38,5
70.22,4
75.38,5
70.22,4
73.95,11
75.38,5
76.31,6
75.38,5
76.31,6
76.31,6
75.38,5
61.47,12
76.31,6
75.38,5
55.80,8
75.38,5
76.31,6
75.38,5
42.43,1
75.38,5
61.47,12
75.38,5
70.22,4
76.31,6
70.22,4
75.38,5
76.31,6
75.38,5
75.38,5
76.31,6
75.38,5
75.38,5
76.31,6
76.31,6
76.31,6
80.17,10
75.38,5
76.31,6
76.31,6
55.80,8
75.38,5
